Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
A-Star    , 4, 16, 0
Dijkstra's, 5, 25, 75107, 75107
A-Star    , 5, 25, 0
Dijkstra's, 6, 36, 125955, 125955
A-Star    , 6, 36, 0
Dijkstra's, 7, 49, 64377, 64377
A-Star    , 7, 49, 0
Dijkstra's, 8, 64, 59712, 59712
A-Star    , 8, 64, 0
Dijkstra's, 9, 81, 77905, 77905
A-Star    , 9, 81, 0
Dijkstra's, 10, 100, 103563, 103563
A-Star    , 10, 100, 0

Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 4, 16, 56913, 56913
A-Star    , 4, 16, 0
Dijkstra's, 5, 25, 63444, 63444
A-Star    , 5, 25, 0
Dijkstra's, 6, 36, 127821, 127821
A-Star    , 6, 36, 0
Dijkstra's, 7, 49, 64377, 64377
A-Star    , 7, 49, 0
Dijkstra's, 8, 64, 63910, 63910
A-Star    , 8, 64, 0
Dijkstra's, 9, 81, 78372, 78372
A-Star    , 9, 81, 0
Dijkstra's, 10, 100, 112893, 112893
A-Star    , 10, 100, 0

Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 10, 100, 0
A-Star    , 10, 100, 0

Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 10, 100, 0
A-Star    , 10, 100, 0

Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 10, 100, 597120, 586390, 123623, 176804, 99831, 80704, 79771, 78839, 135752, 132020, 209085
A-Star    , 10, 100, 654966, 107761, 52248, 31722, 26591, 20060, 17727, 17727, 26590, 28923, 98431

Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 4, 16, 52715, 52715
A-Star    , 4, 16, 50382, 50382
Dijkstra's, 5, 25, 62511, 62511
A-Star    , 5, 25, 34054, 34054
Dijkstra's, 6, 36, 124555, 124555
A-Star    , 6, 36, 37786, 37786
Dijkstra's, 7, 49, 182868, 182868
A-Star    , 7, 49, 54114, 54114
Dijkstra's, 8, 64, 79772, 79772
A-Star    , 8, 64, 59245, 59245
Dijkstra's, 9, 81, 73240, 73240
A-Star    , 9, 81, 42918, 42918
Dijkstra's, 10, 100, 176803, 176803
A-Star    , 10, 100, 45250, 45250
Dijkstra's, 11, 121, 142282, 142282
A-Star    , 11, 121, 47116, 47116
Dijkstra's, 12, 144, 168873, 168873
A-Star    , 12, 144, 32188, 32188
Dijkstra's, 13, 169, 201528, 201528
A-Star    , 13, 169, 25657, 25657
Dijkstra's, 14, 196, 290629, 290629
A-Star    , 14, 196, 36853, 36853
Dijkstra's, 15, 225, 371334, 371334
A-Star    , 15, 225, 62044, 62044

Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 10, 100, 631175, 626043, 131087, 102164, 103563, 102630, 90967, 92367, 93766, 90968, 206473
A-Star    , 10, 100, 97965, 90501, 100297, 47583, 18194, 22392, 18660, 14928, 13995, 25657, 45017
Dijkstra's, 11, 121, 125022, 120357, 113826, 112893, 112893, 114292, 111027, 113359, 111494, 236049, 127121
A-Star    , 11, 121, 16794, 21459, 16794, 16794, 14928, 14462, 16794, 13995, 14461, 16794, 16327
Dijkstra's, 12, 144, 154411, 151613, 151146, 152545, 153945, 149746, 153479, 152079, 155344, 153945, 152825
A-Star    , 12, 144, 21459, 19126, 18660, 20060, 17260, 16794, 20992, 20992, 16794, 17727, 18986
Dijkstra's, 13, 169, 209459, 215523, 217856, 208059, 215056, 234650, 216923, 213657, 209458, 209459, 215010
A-Star    , 13, 169, 20993, 22858, 20060, 19593, 21459, 27057, 31722, 22859, 19593, 27057, 23325
Dijkstra's, 14, 196, 285965, 281299, 283166, 273836, 279900, 277567, 279900, 286431, 280833, 281766, 281066
A-Star    , 14, 196, 26124, 32189, 28923, 26124, 25657, 25191, 25658, 25657, 30789, 27057, 27336
Dijkstra's, 15, 225, 381130, 380664, 371800, 389527, 367602, 372267, 371334, 374600, 377865, 370867, 375765
